mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,src,normalization,wt_mean,cosine_similarity,kl_to_gaussian,seed,raw_rho,ref_rho,post_rho,scale_factor
real,0,0.6,0.6,0.1,0.0,5.361147880554199,6.390755574294488,1.80712890625,1.8746076822280884,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.6,0.1,0.1,5.25592851638794,7.508279736432655,1.8767595291137693,2.0131492614746094,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.6,0.5,0.0,5.341443061828613,8.828731948972177,2.1789395809173584,2.96858549118042,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.6,0.5,0.1,4.938950061798096,10.814792607628275,2.4328293800354004,3.5451931953430176,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.6,1.0,0.0,4.28947639465332,7.975210551664276,2.555305242538452,4.301342964172363,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.6,1.0,0.1,2.57828688621521,5.547222745449943,2.9219820499420166,5.275850772857666,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.6,1.5,0.0,3.6189892292022714,6.971691179521244,2.769313097000122,5.231133460998535,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.6,1.5,0.1,2.207696914672852,4.809795977547424,3.182499647140503,6.453099727630615,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.8,0.1,0.0,6.168231010437012,7.486466240925186,1.9680172204971316,2.045477390289306,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
real,0,0.6,0.8,0.1,0.1,6.044755935668945,8.843995122417738,2.0479307174682617,2.199756860733032,chunk_0,spectral_radius,0.0010998402722179,0.3826737999916076,1.1599982532302633,12346,73.237548828125,73.237548828125,0.600000262260437,0.0081925188595277
