mode,src,group_id,metric,mean,n_hparams
sign_test_og_cel0.0,chunk_0,0,GR,,96
sign_test_og_cel0.0,chunk_0,0,IPC,,96
sign_test_og_cel0.0,chunk_0,0,KR,24.739583333333332,96
sign_test_og_cel0.0,chunk_0,0,MC,,96
sign_test_og_cel0.0,chunk_0,0,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_0,0,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_0,0,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_0,1,GR,,96
sign_test_og_cel0.0,chunk_0,1,IPC,,96
sign_test_og_cel0.0,chunk_0,1,KR,21.59375,96
sign_test_og_cel0.0,chunk_0,1,MC,,96
sign_test_og_cel0.0,chunk_0,1,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_0,1,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_0,1,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_0,2,GR,,96
sign_test_og_cel0.0,chunk_0,2,IPC,,96
sign_test_og_cel0.0,chunk_0,2,KR,22.59375,96
sign_test_og_cel0.0,chunk_0,2,MC,,96
sign_test_og_cel0.0,chunk_0,2,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_0,2,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_0,2,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_0,3,GR,,96
sign_test_og_cel0.0,chunk_0,3,IPC,,96
sign_test_og_cel0.0,chunk_0,3,KR,24.791666666666668,96
sign_test_og_cel0.0,chunk_0,3,MC,,96
sign_test_og_cel0.0,chunk_0,3,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_0,3,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_0,3,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_0,4,GR,,96
sign_test_og_cel0.0,chunk_0,4,IPC,,96
sign_test_og_cel0.0,chunk_0,4,KR,25.510416666666668,96
sign_test_og_cel0.0,chunk_0,4,MC,,96
sign_test_og_cel0.0,chunk_0,4,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_0,4,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_0,4,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_0,5,GR,,96
sign_test_og_cel0.0,chunk_0,5,IPC,,96
sign_test_og_cel0.0,chunk_0,5,KR,21.65625,96
sign_test_og_cel0.0,chunk_0,5,MC,,96
sign_test_og_cel0.0,chunk_0,5,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_0,5,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_0,5,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_0,6,GR,,96
sign_test_og_cel0.0,chunk_0,6,IPC,,96
sign_test_og_cel0.0,chunk_0,6,KR,23.65625,96
sign_test_og_cel0.0,chunk_0,6,MC,,96
sign_test_og_cel0.0,chunk_0,6,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_0,6,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_0,6,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_0,7,GR,,96
sign_test_og_cel0.0,chunk_0,7,IPC,,96
sign_test_og_cel0.0,chunk_0,7,KR,22.989583333333332,96
sign_test_og_cel0.0,chunk_0,7,MC,,96
sign_test_og_cel0.0,chunk_0,7,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_0,7,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_0,7,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_0,8,GR,,96
sign_test_og_cel0.0,chunk_0,8,IPC,,96
sign_test_og_cel0.0,chunk_0,8,KR,22.041666666666668,96
sign_test_og_cel0.0,chunk_0,8,MC,,96
sign_test_og_cel0.0,chunk_0,8,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_0,8,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_0,8,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_0,9,GR,,96
sign_test_og_cel0.0,chunk_0,9,IPC,,96
sign_test_og_cel0.0,chunk_0,9,KR,23.15625,96
sign_test_og_cel0.0,chunk_0,9,MC,,96
sign_test_og_cel0.0,chunk_0,9,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_0,9,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_0,9,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_1,10,GR,,96
sign_test_og_cel0.0,chunk_1,10,IPC,,96
sign_test_og_cel0.0,chunk_1,10,KR,25.135416666666668,96
sign_test_og_cel0.0,chunk_1,10,MC,,96
sign_test_og_cel0.0,chunk_1,10,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_1,10,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_1,10,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_1,11,GR,,96
sign_test_og_cel0.0,chunk_1,11,IPC,,96
sign_test_og_cel0.0,chunk_1,11,KR,20.083333333333332,96
sign_test_og_cel0.0,chunk_1,11,MC,,96
sign_test_og_cel0.0,chunk_1,11,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_1,11,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_1,11,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_1,12,GR,,96
sign_test_og_cel0.0,chunk_1,12,IPC,,96
sign_test_og_cel0.0,chunk_1,12,KR,24.208333333333332,96
sign_test_og_cel0.0,chunk_1,12,MC,,96
sign_test_og_cel0.0,chunk_1,12,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_1,12,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_1,12,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_1,13,GR,,96
sign_test_og_cel0.0,chunk_1,13,IPC,,96
sign_test_og_cel0.0,chunk_1,13,KR,22.09375,96
sign_test_og_cel0.0,chunk_1,13,MC,,96
sign_test_og_cel0.0,chunk_1,13,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_1,13,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_1,13,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_1,14,GR,,96
sign_test_og_cel0.0,chunk_1,14,IPC,,96
sign_test_og_cel0.0,chunk_1,14,KR,19.84375,96
sign_test_og_cel0.0,chunk_1,14,MC,,96
sign_test_og_cel0.0,chunk_1,14,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_1,14,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_1,14,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_1,15,GR,,96
sign_test_og_cel0.0,chunk_1,15,IPC,,96
sign_test_og_cel0.0,chunk_1,15,KR,22.239583333333332,96
sign_test_og_cel0.0,chunk_1,15,MC,,96
sign_test_og_cel0.0,chunk_1,15,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_1,15,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_1,15,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_1,16,GR,,96
sign_test_og_cel0.0,chunk_1,16,IPC,,96
sign_test_og_cel0.0,chunk_1,16,KR,27.875,96
sign_test_og_cel0.0,chunk_1,16,MC,,96
sign_test_og_cel0.0,chunk_1,16,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_1,16,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_1,16,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_1,17,GR,,96
sign_test_og_cel0.0,chunk_1,17,IPC,,96
sign_test_og_cel0.0,chunk_1,17,KR,21.697916666666668,96
sign_test_og_cel0.0,chunk_1,17,MC,,96
sign_test_og_cel0.0,chunk_1,17,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_1,17,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_1,17,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_1,18,GR,,96
sign_test_og_cel0.0,chunk_1,18,IPC,,96
sign_test_og_cel0.0,chunk_1,18,KR,24.416666666666668,96
sign_test_og_cel0.0,chunk_1,18,MC,,96
sign_test_og_cel0.0,chunk_1,18,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_1,18,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_1,18,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_1,19,GR,,96
sign_test_og_cel0.0,chunk_1,19,IPC,,96
sign_test_og_cel0.0,chunk_1,19,KR,21.947916666666668,96
sign_test_og_cel0.0,chunk_1,19,MC,,96
sign_test_og_cel0.0,chunk_1,19,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_1,19,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_1,19,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_10,100,GR,,96
sign_test_og_cel0.0,chunk_10,100,IPC,,96
sign_test_og_cel0.0,chunk_10,100,KR,23.53125,96
sign_test_og_cel0.0,chunk_10,100,MC,,96
sign_test_og_cel0.0,chunk_10,100,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_10,100,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_10,100,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_10,101,GR,,96
sign_test_og_cel0.0,chunk_10,101,IPC,,96
sign_test_og_cel0.0,chunk_10,101,KR,23.822916666666668,96
sign_test_og_cel0.0,chunk_10,101,MC,,96
sign_test_og_cel0.0,chunk_10,101,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_10,101,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_10,101,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_10,102,GR,,96
sign_test_og_cel0.0,chunk_10,102,IPC,,96
sign_test_og_cel0.0,chunk_10,102,KR,21.520833333333332,96
sign_test_og_cel0.0,chunk_10,102,MC,,96
sign_test_og_cel0.0,chunk_10,102,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_10,102,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_10,102,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_10,103,GR,,96
sign_test_og_cel0.0,chunk_10,103,IPC,,96
sign_test_og_cel0.0,chunk_10,103,KR,23.291666666666668,96
sign_test_og_cel0.0,chunk_10,103,MC,,96
sign_test_og_cel0.0,chunk_10,103,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_10,103,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_10,103,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_10,104,GR,,96
sign_test_og_cel0.0,chunk_10,104,IPC,,96
sign_test_og_cel0.0,chunk_10,104,KR,23.739583333333332,96
sign_test_og_cel0.0,chunk_10,104,MC,,96
sign_test_og_cel0.0,chunk_10,104,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_10,104,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_10,104,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_10,105,GR,,96
sign_test_og_cel0.0,chunk_10,105,IPC,,96
sign_test_og_cel0.0,chunk_10,105,KR,22.21875,96
sign_test_og_cel0.0,chunk_10,105,MC,,96
sign_test_og_cel0.0,chunk_10,105,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_10,105,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_10,105,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_10,106,GR,,96
sign_test_og_cel0.0,chunk_10,106,IPC,,96
sign_test_og_cel0.0,chunk_10,106,KR,22.864583333333332,96
sign_test_og_cel0.0,chunk_10,106,MC,,96
sign_test_og_cel0.0,chunk_10,106,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_10,106,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_10,106,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_10,107,GR,,96
sign_test_og_cel0.0,chunk_10,107,IPC,,96
sign_test_og_cel0.0,chunk_10,107,KR,23.40625,96
sign_test_og_cel0.0,chunk_10,107,MC,,96
sign_test_og_cel0.0,chunk_10,107,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_10,107,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_10,107,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_10,108,GR,,96
sign_test_og_cel0.0,chunk_10,108,IPC,,96
sign_test_og_cel0.0,chunk_10,108,KR,22.135416666666668,96
sign_test_og_cel0.0,chunk_10,108,MC,,96
sign_test_og_cel0.0,chunk_10,108,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_10,108,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_10,108,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_10,109,GR,,96
sign_test_og_cel0.0,chunk_10,109,IPC,,96
sign_test_og_cel0.0,chunk_10,109,KR,23.8125,96
sign_test_og_cel0.0,chunk_10,109,MC,,96
sign_test_og_cel0.0,chunk_10,109,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_10,109,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_10,109,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_11,110,GR,,96
sign_test_og_cel0.0,chunk_11,110,IPC,,96
sign_test_og_cel0.0,chunk_11,110,KR,24.65625,96
sign_test_og_cel0.0,chunk_11,110,MC,,96
sign_test_og_cel0.0,chunk_11,110,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_11,110,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_11,110,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_11,111,GR,,96
sign_test_og_cel0.0,chunk_11,111,IPC,,96
sign_test_og_cel0.0,chunk_11,111,KR,23.3125,96
sign_test_og_cel0.0,chunk_11,111,MC,,96
sign_test_og_cel0.0,chunk_11,111,cosine_similarity,0.5909784734249115,96
sign_test_og_cel0.0,chunk_11,111,kl_to_gaussian,0.6575650774566659,96
sign_test_og_cel0.0,chunk_11,111,wt_mean,0.00143318291520695,96
sign_test_og_cel0.0,chunk_11,112,GR,,96
sign_test_og_cel0.0,chunk_11,112,IPC,,96
sign_test_og_cel0.0,chunk_11,112,KR,22.5,96
sign_test_og_cel0.0,chunk_11,112,MC,,96
sign_test_og_cel0.0,chunk_11,112,cosine_similarity,0.5909784734249115,96
