mode,series_kind,metric,raw_rho,raw_rho_sd,performance,performance_sd,cv,cv_sd,n_groups,n_hparams,series,series_key,color,marker,normalization,sign_frac,dataset
binary_base,shuffle,GR,15.278559684753418,0.0,2.509660162081321,0.25108501790034504,0.21916131186453314,0.028926764244738935,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base,shuffle,IPC,15.278559684753418,0.0,6.609240945280662,0.3189497836595933,0.2316801090691697,0.018023952530725904,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base,shuffle,KR,15.278559684753418,0.0,2.941992549095303,0.28309769769393667,0.27347044771896,0.019994053518848198,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base,shuffle,MC,15.278559684753418,0.0,3.7534277025361855,0.17520133361565873,0.2982373010908389,0.021418380662541894,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base_topology_shuffle,shuffle,GR,15.456112418174744,0.1067804300747368,2.352008259687573,0.28758015778941526,0.23465089532571756,0.03227903316090578,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base_topology_shuffle,shuffle,IPC,15.456112418174744,0.1067804300747368,6.494417951359448,0.2613911321472922,0.2301563148526665,0.016633539440179732,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base_topology_shuffle,shuffle,KR,15.456112418174744,0.1067804300747368,2.7732059137026472,0.2478400740095101,0.2621667969519079,0.017685578765359006,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary_base_topology_shuffle,shuffle,MC,15.456112418174744,0.1067804300747368,3.6292229445511475,0.13961688751550022,0.2677738185290155,0.01911242290060407,200,96.0,Binary controls,Binary controls,#5f6b7a,s,,,
binary+conshuffle+wshuffle,shuffle,GR,7.925836038589478,0.2979908320135139,4.449494968534758,0.4572607680357212,0.4245585813317197,0.04625260653926194,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+conshuffle+wshuffle,shuffle,IPC,7.925836038589478,0.2979908320135139,8.484940638274718,0.38627261140218905,0.3197108184880392,0.023089298768779278,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+conshuffle+wshuffle,shuffle,KR,7.925836038589478,0.2979908320135139,4.873257113552342,0.4104813003148112,0.4253897074852248,0.018814871991656035,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+conshuffle+wshuffle,shuffle,MC,7.925836038589478,0.2979908320135139,4.959008498410694,0.21609867398282587,0.39092156757620006,0.022093933422245825,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+shuffle,shuffle,GR,7.059514572620392,0.4072654108389761,5.117512691946079,0.6391696240430259,0.48326711625266583,0.047610492203407365,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+shuffle,shuffle,IPC,7.059514572620392,0.4072654108389761,9.144586185607603,0.5962726678389275,0.35743837362162734,0.027228316257628546,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+shuffle,shuffle,KR,7.059514572620392,0.4072654108389761,5.820291753212611,0.7005933831026132,0.4757002677777731,0.03079189036465269,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
binary+shuffle,shuffle,MC,7.059514572620392,0.4072654108389761,5.376008694795892,0.32941402918325546,0.42022449107737564,0.0237890539928186,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
global_sign_pres,shuffle,GR,7.934643080234528,0.33821472324096086,4.323917979920904,0.44909098304693473,0.4158546830827507,0.04472740739600492,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
global_sign_pres,shuffle,IPC,7.934643080234528,0.33821472324096086,8.429422884748945,0.3661802879532709,0.3178806117868698,0.023716101486831245,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
global_sign_pres,shuffle,KR,7.934643080234528,0.33821472324096086,4.973246795131515,0.4893317414982008,0.4263363226348227,0.022609721421219392,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
global_sign_pres,shuffle,MC,7.934643080234528,0.33821472324096086,4.932665309269602,0.20056790076533867,0.39497190596403714,0.024558686387501895,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
local_sign+binary,shuffle,GR,6.2845439219474795,0.5139307048624899,5.868107665454349,1.0411610250165872,0.5206854532759029,0.06081293479141304,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
local_sign+binary,shuffle,IPC,6.2845439219474795,0.5139307048624899,10.001623740997792,0.7499235911768759,0.37972145754944464,0.02259288012155306,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
local_sign+binary,shuffle,KR,6.2845439219474795,0.5139307048624899,7.748783955673376,1.4381833383354636,0.5385835444108018,0.04286251854712131,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
local_sign+binary,shuffle,MC,6.2845439219474795,0.5139307048624899,6.01036409949263,0.46266207881999305,0.45260524101827193,0.023034962080985384,200,96.0,PM1 controls,PM1 controls,#009e73,D,,,
celW+connShuf,shuffle,GR,47.22346750259399,4.416023779882539,9.490514131560921,1.895456250607813,0.6444019913075911,0.052629135839585645,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
celW+connShuf,shuffle,IPC,47.22346750259399,4.416023779882539,11.764140114378698,1.0262174545297436,0.40491005614803766,0.025934149954667685,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
celW+connShuf,shuffle,KR,47.22346750259399,4.416023779882539,10.659506266042591,2.275937038107299,0.5919567873826563,0.039759229417051276,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
celW+connShuf,shuffle,MC,47.22346750259399,4.416023779882539,7.2012452658327915,0.744887171465583,0.49832312372005816,0.030127568732949105,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
conn_shuf_only,shuffle,GR,44.53476148605347,5.214636909375691,10.198707479530325,2.2888067183211653,0.6596134635680798,0.061449742520445425,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
conn_shuf_only,shuffle,IPC,44.53476148605347,5.214636909375691,11.9903334026528,1.0838721261594026,0.3948402746903924,0.02911916140219558,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
conn_shuf_only,shuffle,KR,44.53476148605347,5.214636909375691,12.093834905053178,2.903278598317798,0.6069429673315295,0.04322103932213333,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
conn_shuf_only,shuffle,MC,44.53476148605347,5.214636909375691,7.4424612187594175,0.8069378035208861,0.49743153684790625,0.03489331968501665,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
real,shuffle,GR,73.30743656158447,3.5052214759047553,4.932475672078629,0.3450953405470338,0.3470078734745009,0.030701085739431543,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
real,shuffle,IPC,73.30743656158447,3.5052214759047553,8.836446405792517,0.39986066719534746,0.29954170665184066,0.02612508409562108,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
real,shuffle,KR,73.30743656158447,3.5052214759047553,5.551721381321549,0.5567940350698247,0.39797317555378625,0.019826613002597977,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
real,shuffle,MC,73.30743656158447,3.5052214759047553,5.475731512214988,0.27375970311410724,0.4088194794380253,0.03385132808973703,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
shuffle,shuffle,GR,49.01490772247315,4.902611482882949,8.578788066767157,1.6109448598964338,0.6246082459701436,0.0550376027972695,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
shuffle,shuffle,IPC,49.01490772247315,4.902611482882949,11.170374636883652,0.8407067620153652,0.3935399036541407,0.02750734502494839,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
shuffle,shuffle,KR,49.01490772247315,4.902611482882949,9.806644051074981,2.0452554366747524,0.5700173106593427,0.040881365066091614,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
shuffle,shuffle,MC,49.01490772247315,4.902611482882949,6.799448829122508,0.5704536121926309,0.48948917063045877,0.03199839762712411,200,96.0,C. elegans shuffle controls,C. elegans shuffle controls,#0072b2,^,,,
sign_test_og_cel0.0,sign_sweep,GR,106.5088882446289,0.0,3.0633021802268923,0.29775343876694577,0.25789105902759335,0.028124607513305297,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.0,C. elegans E/I sweep
sign_test_og_cel0.0,sign_sweep,IPC,106.5088882446289,0.0,7.297199552088322,0.3372891376751764,0.24318231734594611,0.020062456722222885,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.0,C. elegans E/I sweep
sign_test_og_cel0.0,sign_sweep,KR,106.5088882446289,0.0,3.8548931338948504,0.36752862629457395,0.31730385185261983,0.017276533633012292,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.0,C. elegans E/I sweep
sign_test_og_cel0.0,sign_sweep,MC,106.5088882446289,0.0,4.317540288120508,0.1977663955856094,0.33685664043044655,0.025577619263038663,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.0,C. elegans E/I sweep
sign_test_og_cel0.2,sign_sweep,GR,65.95554452896118,11.400191448426511,5.510193247708181,1.3531337546073794,0.41942001295025955,0.06575621807207839,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.2,C. elegans E/I sweep
sign_test_og_cel0.2,sign_sweep,IPC,65.95554452896118,11.400191448426511,8.853495697262414,0.6095914304071625,0.3160925360238906,0.036784457954425136,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.2,C. elegans E/I sweep
sign_test_og_cel0.2,sign_sweep,KR,65.95554452896118,11.400191448426511,6.690801120282462,1.752285279803127,0.41874131105769336,0.042971901263706,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.2,C. elegans E/I sweep
sign_test_og_cel0.2,sign_sweep,MC,65.95554452896118,11.400191448426511,5.381047135622551,0.45505512071056475,0.41520243746706,0.04330401025719664,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.2,C. elegans E/I sweep
sign_test_og_cel0.24250832408435072,sign_sweep,GR,59.46572551727295,11.364521206804657,6.5327453040890395,1.8581397615181596,0.4556979290409096,0.06513809208942645,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.24250832408435072,C. elegans E/I sweep
sign_test_og_cel0.24250832408435072,sign_sweep,IPC,59.46572551727295,11.364521206804657,9.322144429013353,0.6977112167037877,0.3387721137482829,0.04068320857743883,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.24250832408435072,C. elegans E/I sweep
sign_test_og_cel0.24250832408435072,sign_sweep,KR,59.46572551727295,11.364521206804657,7.778595969285816,2.3798572951261674,0.4411998755685784,0.04344245074463662,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.24250832408435072,C. elegans E/I sweep
sign_test_og_cel0.24250832408435072,sign_sweep,MC,59.46572551727295,11.364521206804657,5.721453156325346,0.5494117741617853,0.43867188839398435,0.04667277754438427,200,96.0,C. elegans E/I sweep,C. elegans E/I sweep,#d55e00,o,spectral_radius,0.24250832408435072,C. elegans E/I sweep
