mode,shuffle_id,rho_target,leak,input_scale,neuron_bias,MC,IPC,KR,GR,src,normalization,wt_mean,cosine_similarity,kl_to_gaussian,seed,raw_rho,ref_rho,post_rho,raw_fro,ref_fro,post_fro,scale_factor
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,0.6,0.1,0.1,7.102222442626953,10.849346121201396,3.816997528076172,4.285940170288086,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,0.6,0.5,0.1,5.248703956604004,11.762702166357847,6.133586406707764,9.435940742492676,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,0.6,1.0,0.1,3.621515512466431,8.5411366900007,6.964306831359863,13.200048446655272,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,0.6,1.5,0.1,3.094655752182007,6.532757281077679,7.222821235656738,15.488388061523438,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,0.8,0.1,0.1,8.1065092086792,13.032863758901698,4.576669216156006,5.2613043785095215,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,0.8,0.5,0.1,6.053749084472656,14.06305167212372,7.293278217315674,11.622757911682127,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,0.8,1.0,0.1,4.69196081161499,9.87702575616716,8.200847625732422,16.225929260253906,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,0.8,1.5,0.1,4.4641594886779785,10.656627509491512,8.499353408813477,19.028392791748047,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,1.0,0.1,0.1,9.582528114318848,15.603102622192836,6.287143230438232,7.448841571807861,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,1.0,0.5,0.1,7.349356174468994,14.15276267456126,9.203231811523438,15.341447830200195,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,1.0,1.0,0.1,5.744757175445557,12.780694980667112,10.219923973083496,20.82542991638184,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.2425287356321839__norm_spectral_radius,0,1.0,1.0,1.5,0.1,4.719857215881348,9.948521418036933,10.54481029510498,24.095733642578125,new_cel_removed_chunk_0,spectral_radius,0.0013260383857414,0.3119592666625976,1.17396845380945,12346,45.379730224609375,67.6279525756836,1.0000014305114746,407.9043884277344,407.9043884277344,8.988692283630371,0.0220362702697977
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,0.6,0.1,0.1,5.332237243652344,7.784604515824839,2.6325926780700684,2.834789752960205,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,0.6,0.5,0.1,5.0564703941345215,10.448746080982572,4.044117450714111,5.839569568634033,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,0.6,1.0,0.1,4.203606605529785,8.887881790580813,4.531160831451416,8.037755012512207,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,0.6,1.5,0.1,3.637171983718872,8.096237479801175,4.614481449127197,9.275202751159668,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,0.8,0.1,0.1,6.234249114990234,9.35394512026798,2.9019699096679688,3.1492919921875,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,0.8,0.5,0.1,5.328911304473877,10.107926853150502,4.562297344207764,6.7408857345581055,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,0.8,1.0,0.1,4.376499176025391,8.421225706129576,5.164681434631348,9.473360061645508,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,0.8,1.5,0.1,3.013996124267578,4.815619587654197,5.290322780609131,11.023101806640623,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,1.0,0.1,0.1,7.380213260650635,11.246506536692351,3.3892264366149902,3.71970009803772,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,1.0,0.5,0.1,5.838247776031494,12.639172629818349,5.493645668029785,8.276052474975586,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,1.0,1.0,0.1,5.127734661102295,10.048746044692962,6.1910834312438965,11.685349464416504,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.0__norm_spectral_radius,0,1.0,1.0,1.5,0.1,4.3634185791015625,8.77234981521304,6.330636024475098,13.610217094421388,new_cel_removed_chunk_0,spectral_radius,0.0016852203989401,0.6422551870346069,1.1739684350302535,12346,73.51416778564453,67.6279525756836,0.999999701976776,407.9043884277344,407.9043884277344,5.54865026473999,0.0136028201110272
sign_test_og_cel0.1__norm_spectral_radius,0,1.0,0.6,0.1,0.1,6.013327598571777,8.901837651222309,2.6227152347564697,2.843790292739868,new_cel_removed_chunk_0,spectral_radius,0.0014203273458406,0.4885089099407196,1.1739685763914736,12346,66.3443832397461,67.6279525756836,0.999999463558197,407.9043884277344,407.9043884277344,6.148288726806641,0.0150728660237346
sign_test_og_cel0.1__norm_spectral_radius,0,1.0,0.6,0.5,0.1,5.270201206207275,11.455770991977968,3.8295607566833496,5.71273946762085,new_cel_removed_chunk_0,spectral_radius,0.0014203273458406,0.4885089099407196,1.1739685763914736,12346,66.3443832397461,67.6279525756836,0.999999463558197,407.9043884277344,407.9043884277344,6.148288726806641,0.0150728660237346
sign_test_og_cel0.1__norm_spectral_radius,0,1.0,0.6,1.0,0.1,4.233896732330322,8.762659644526732,4.317495822906494,7.991259574890137,new_cel_removed_chunk_0,spectral_radius,0.0014203273458406,0.4885089099407196,1.1739685763914736,12346,66.3443832397461,67.6279525756836,0.999999463558197,407.9043884277344,407.9043884277344,6.148288726806641,0.0150728660237346
sign_test_og_cel0.1__norm_spectral_radius,0,1.0,0.6,1.5,0.1,3.1220908164978027,6.642285611565512,4.506673336029053,9.42389965057373,new_cel_removed_chunk_0,spectral_radius,0.0014203273458406,0.4885089099407196,1.1739685763914736,12346,66.3443832397461,67.6279525756836,0.999999463558197,407.9043884277344,407.9043884277344,6.148288726806641,0.0150728660237346
sign_test_og_cel0.1__norm_spectral_radius,0,1.0,0.8,0.1,0.1,6.782248020172119,10.317733287014036,2.9450125694274902,3.222108840942383,new_cel_removed_chunk_0,spectral_radius,0.0014203273458406,0.4885089099407196,1.1739685763914736,12346,66.3443832397461,67.6279525756836,0.999999463558197,407.9043884277344,407.9043884277344,6.148288726806641,0.0150728660237346
sign_test_og_cel0.1__norm_spectral_radius,0,1.0,0.8,0.5,0.1,5.434859752655029,11.897883395141577,4.432825565338135,6.753035545349121,new_cel_removed_chunk_0,spectral_radius,0.0014203273458406,0.4885089099407196,1.1739685763914736,12346,66.3443832397461,67.6279525756836,0.999999463558197,407.9043884277344,407.9043884277344,6.148288726806641,0.0150728660237346
sign_test_og_cel0.1__norm_spectral_radius,0,1.0,0.8,1.0,0.1,4.370689868927002,9.813375334746638,5.024358749389648,9.62056827545166,new_cel_removed_chunk_0,spectral_radius,0.0014203273458406,0.4885089099407196,1.1739685763914736,12346,66.3443832397461,67.6279525756836,0.999999463558197,407.9043884277344,407.9043884277344,6.148288726806641,0.0150728660237346
