mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,wt_mean,cosine_similarity,kl_to_gaussian,seed,src
weight_test0.0,52,0.6,0.6,0.1,4.412652015686035,5.069475451096338,1.7028933763504028,1.7473646402359009,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,0.6,0.5,3.904757499694824,5.204224404666718,1.9632246494293213,2.5058231353759766,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,0.6,1.0,2.824977397918701,4.807487395112929,2.2379541397094727,3.3977978229522705,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,0.6,1.5,3.2248599529266357,5.04603957493498,2.4007091522216797,4.004515171051025,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,0.8,0.1,5.032227516174316,5.968645300596043,1.8010387420654297,1.8497905731201172,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,0.8,0.5,3.8862147331237793,6.4306124048061974,2.100464105606079,2.7104597091674805,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,0.8,1.0,4.3316426277160645,6.819661705082126,2.4158120155334473,3.7424747943878174,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,0.8,1.5,3.646644353866577,6.0743206685517634,2.599824905395508,4.455118656158447,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,1.0,0.1,5.75856351852417,6.9192615563360675,1.9512474536895752,2.0064454078674316,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,1.0,0.5,5.006890773773193,7.519869880838492,2.3057057857513428,3.0132763385772705,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,1.0,1.0,4.716980934143066,7.841262362359828,2.6741278171539307,4.240333080291748,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.6,1.0,1.5,3.9993982315063477,7.071472923530832,2.883115291595459,5.097066879272461,0.0009280519443564117,0.5628097057342529,0.8963917938895556,5212346,chunk_4
weight_test0.0,52,0.8,0.6,0.1,5.353934288024902,6.186678140450567,2.13482666015625,2.1910417079925537,0.0012374025536701083,0.5628095865249634,0.8963917027065043,5212346,chunk_4
weight_test0.0,52,0.8,0.6,0.5,4.624016284942627,7.4572908513363245,2.4583640098571777,3.1888606548309326,0.0012374025536701083,0.5628095865249634,0.8963917027065043,5212346,chunk_4
weight_test0.0,52,0.8,0.6,1.0,4.2194132804870605,6.994470329245871,2.7677152156829834,4.347179889678955,0.0012374025536701083,0.5628095865249634,0.8963917027065043,5212346,chunk_4
