mode,shuffle_id,rho_target,leak,input_scale,MC,IPC,KR,GR,src,wt_mean,cosine_similarity,kl_to_gaussian,seed
weight_test0.0,0,0.6,0.6,0.1,4.252339839935303,5.093814772400549,1.6520687341690063,1.7061090469360352,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,0.6,0.5,3.06955885887146,5.107369940972831,1.952214598655701,2.600114345550537,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,0.6,1.0,2.725865364074707,4.835873728235811,2.253068447113037,3.627829551696777,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,0.6,1.5,3.159997940063477,5.309579191954754,2.4396615028381348,4.361560821533203,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,0.8,0.1,4.803594589233398,5.872599858414144,1.7401739358901978,1.800910711288452,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,0.8,0.5,3.703103542327881,6.546013361969081,2.0823891162872314,2.8187801837921143,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,0.8,1.0,3.6970760822296143,5.97850889360916,2.423569917678833,4.016554355621338,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,0.8,1.5,2.3708813190460205,3.4243365596312785,2.6342482566833496,4.883161067962647,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,1.0,0.1,5.371424674987793,6.953084282342928,1.8685952425003047,1.9383325576782229,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,1.0,0.5,5.180433750152588,8.55518174605512,2.268454074859619,3.1326146125793457,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,1.0,1.0,4.115577697753906,6.742297582355761,2.662827253341675,4.559147357940674,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.6,1.0,1.5,3.2796943187713623,6.2413690195453455,2.9044606685638428,5.598676681518555,chunk_0,0.0009280519443564,0.5628097057342529,0.8963917938895556,12346
weight_test0.0,0,0.8,0.6,0.1,5.07837438583374,6.054716325214713,2.0437655448913574,2.102762460708618,chunk_0,0.0012374025536701,0.5628095865249634,0.8963917027065043,12346
weight_test0.0,0,0.8,0.6,0.5,4.354136943817139,7.488030047113625,2.4263784885406494,3.295311450958252,chunk_0,0.0012374025536701,0.5628095865249634,0.8963917027065043,12346
weight_test0.0,0,0.8,0.6,1.0,3.2336349487304688,5.372658287329003,2.7993874549865723,4.677258491516113,chunk_0,0.0012374025536701,0.5628095865249634,0.8963917027065043,12346
weight_test0.0,0,0.8,0.6,1.5,2.1730072498321533,3.889669569857688,3.023637294769287,5.662087440490723,chunk_0,0.0012374025536701,0.5628095865249634,0.8963917027065043,12346
weight_test0.0,0,0.8,0.8,0.1,5.714576244354248,6.922870790986991,2.167474269866944,2.240132093429565,chunk_0,0.0012374025536701,0.5628095865249634,0.8963917027065043,12346
weight_test0.0,0,0.8,0.8,0.5,4.874422073364258,5.808880116516995,2.6261346340179443,3.653809547424317,chunk_0,0.0012374025536701,0.5628095865249634,0.8963917027065043,12346
weight_test0.0,0,0.8,0.8,1.0,3.769714117050171,5.54210960043747,3.0669078826904297,5.32811164855957,chunk_0,0.0012374025536701,0.5628095865249634,0.8963917027065043,12346
weight_test0.0,0,0.8,0.8,1.5,3.2094876766204834,5.72529829648758,3.3288373947143555,6.532555103302002,chunk_0,0.0012374025536701,0.5628095865249634,0.8963917027065043,12346
weight_test0.0,0,0.8,1.0,0.1,6.6189045906066895,8.432998371297835,2.358415126800537,2.449669122695923,chunk_0,0.0012374025536701,0.5628095865249634,0.8963917027065043,12346
weight_test0.0,0,0.8,1.0,0.5,4.050713539123535,6.976478413562988,2.9248621463775635,4.190309047698975,chunk_0,0.0012374025536701,0.5628095865249634,0.8963917027065043,12346
